,Max,Min,Mean,Std,RMS,Skewness,Kurtosis,P2P,Crest Factor,Variance,Fault,Defect
0,0.32,-0.2,0.047823887,0.064289597,0.080100519,0.001268545,1.847866298,0.12,3.994980365,0.004133152,inner,Yes
1,0.96,-0.2,0.049202825,0.074959048,0.08963318,3.380105973,38.37425013,0.76,10.71031955,0.005618859,inner,Yes
2,0.9,-0.2,0.047669706,0.067442713,0.08256096,2.494656334,26.40766793,0.7,10.90103608,0.00454852,inner,Yes
3,0.35,-1.0,0.047955466,0.069054037,0.0840438,-3.219542663,53.59073403,-0.65,4.164495177,0.00476846,inner,Yes
4,0.96,-0.2,0.048518145,0.06930913,0.084574957,2.487598536,30.18474079,0.76,11.35087775,0.004803755,inner,Yes
5,0.44,-0.2,0.049616935,0.064329613,0.081215563,0.218978209,2.38598432,0.24,5.417680817,0.004138299,inner,Yes
6,1.0,-0.6,0.047381672,0.076472061,0.089928359,1.528228452,28.9435649,0.4,11.11996271,0.005847976,inner,Yes
7,0.3,-0.9,0.048725986,0.068045254,0.08366419,-2.456107552,37.94340003,-0.6,3.585763521,0.004630157,inner,Yes
8,0.9,-0.8,0.044570273,0.06942026,0.082467017,0.478546138,44.97155727,0.1,10.91345404,0.004819172,inner,Yes
9,0.32,-0.1,0.052298387,0.054781095,0.075717003,0.542981308,1.146688776,0.22,4.226263429,0.003000968,inner,Yes
10,0.96,-0.2,0.05310101,0.061838858,0.081485575,3.286003518,46.33656809,0.76,11.78122626,0.003824044,inner,Yes
11,0.94,-0.2,0.05183283,0.061194958,0.0801729,3.314261434,44.42764663,0.74,11.72466011,0.003744823,inner,Yes
12,0.32,-1.0,0.0498583,0.063303039,0.080554757,-4.353552074,76.1898958,-0.68,3.972453188,0.004007275,inner,Yes
13,0.99,-0.2,0.054387031,0.071562567,0.089855225,4.472658071,54.61568235,0.79,11.0177232,0.005121201,inner,Yes
14,0.26,-0.9,0.04641776,0.062889859,0.07813931,-3.30133223,51.3575813,-0.64,3.327390529,0.003955134,inner,Yes
15,0.26,-0.2,0.051649798,0.055229198,0.075596816,0.171446232,1.193797013,0.06,3.439298304,0.003050264,inner,Yes
16,0.24,-0.2,0.049625127,0.056487458,0.075168167,0.297659451,1.151667373,0.04,3.192840937,0.003190833,inner,Yes
17,0.26,-0.97,0.050183113,0.065510428,0.082496031,-3.633133741,59.42729124,-0.71,3.151666779,0.004291616,inner,Yes
